5MA4:A	d4duia_	83.439	157	26	0	3	159	7	163	1.87e-86	251
5MA4:A	d4duia_	77.444	133	29	1	165	296	31	163	5.71e-63	191
6D8X:A	d1fcya_	29.032	186	126	3	109	292	53	234	1.41e-19	80.5
6G4T:A	d3k34a_	56.757	259	111	1	7	265	1	258	2.30e-110	314
6V5T:E	d4i8ha_	35.827	254	129	9	32	285	1	220	1.60e-42	140
5A3Z:AB	d2vb1a_	100.000	129	0	0	19	147	1	129	4.67e-95	265
6WJM:A	d2p74a_	53.030	264	123	1	31	294	1	263	2.85e-95	277
6WJM:A	d1d3ya_	40.000	55	30	2	218	270	75	128	0.007	32.0
5ACU:A	d4hl2a_	36.522	230	141	2	31	255	9	238	9.65e-48	154
5YRS:A	d2hs1a_	92.929	99	7	0	1	99	1	99	7.73e-66	188
7BWN:ACEFHJMO	d2wura_	94.323	229	10	1	3	231	1	226	1.24e-162	446
7BWN:ACEFHJMO	d1aiea_	93.548	31	2	0	243	273	1	31	5.60e-14	59.7
6NWD:A	d1m0ka_	29.697	165	100	6	106	264	60	214	1.11e-07	46.2
6KYE:BDFHJL	d3qm9a_	35.652	115	64	4	11	120	5	114	4.05e-12	55.1
4Y9B:AB	d1f86a_	98.261	115	2	0	42	156	1	115	5.72e-83	234
6LXO:A	d2wfia_	57.988	169	69	2	18	184	4	172	9.74e-67	197
5OJ9:A	d3qm9a_	42.177	147	81	3	7	153	2	144	3.05e-33	110
5N7X:ABEFHKMO	d2f01a_	100.000	121	0	0	38	158	1	121	1.53e-86	245
5MBL:A	d2xu3a_	29.482	251	130	12	4	246	2	213	2.26e-23	89.7
6M3B:D	d2y5fl_	50.000	46	23	0	98	143	3	48	3.54e-10	48.1
4S3S:A	d4eqpa_	97.674	129	3	0	7	135	1	129	2.63e-92	258
5JEX:A	d1xeoa_	32.558	129	72	3	61	189	34	147	1.33e-13	60.8
6E0D:A	d2vhka_	99.029	206	2	0	23	228	1	206	4.88e-153	419
5ZFX:ABCD	d2vxna_	50.617	243	117	3	30	271	8	248	2.66e-84	248
6PAK:AB	d1gcia_	60.145	276	103	3	1	276	1	269	1.74e-108	310
5E13:A	d1dy5a_	33.333	135	71	4	33	161	3	124	2.22e-14	60.8
5SWK:AB	d4j7da_	77.381	84	19	0	28	111	2	85	2.08e-45	139
6YI0:AAABBBCCCDDD	d4egua_	35.849	106	67	1	54	158	5	110	3.92e-22	80.9
5VEI:A	d2o9sa_	47.273	55	27	1	37	89	9	63	3.39e-15	60.1
6NRY:A	e1qtn.1A	27.928	111	74	3	63	173	38	142	4.31e-07	43.5
5ED4:ABEF	d1kgsa1	27.451	102	68	2	149	249	1	97	2.26e-12	56.6
5ED4:ABEF	d2gkga_	26.549	113	79	3	25	134	2	113	8.93e-08	44.7
5BXC:A	d1o7qa_	45.255	274	148	2	24	296	13	285	2.47e-86	255
6SL6:A	d3d06a_	90.104	192	6	2	32	223	1	179	2.58e-126	350
5KLX:ABCD	d3a4ra_	32.653	49	33	0	41	89	29	77	4.07e-06	38.5
6GUV:A	d1r29a_	31.690	142	74	3	27	168	4	122	1.03e-17	70.1
5J3T:B	d2qklb_	100.000	90	0	0	2	91	1	90	1.72e-63	188
6ICE:ABC	d3b64a_	27.711	83	58	1	32	114	32	112	2.87e-09	46.2
6G5J:AB	d1mc2a_	33.600	125	77	4	43	164	1	122	3.01e-20	76.3
5O87:ABCDEFGHIJ	d2wn9a_	99.038	208	2	0	18	225	2	209	3.03e-158	432
5GTH:Ee	d3arce_	100.000	81	0	0	4	84	1	81	1.07e-57	166
5MX2:Hh	d3arch_	100.000	65	0	0	2	66	1	65	8.45e-44	130
6MK3:A	d3g91a_	41.154	260	148	4	27	285	1	256	4.07e-67	205
4Z86:AB	d4lwra_	51.579	190	90	1	8	197	7	194	1.05e-66	198
5YTO:ABCDEFGHIJ	d2wyta_	99.346	153	1	0	28	180	1	153	3.44e-110	306
5NMV:K	d1g6xa_	38.462	52	32	0	32	83	4	55	1.23e-10	47.4
5HHC:CD	d3fila_	65.455	55	18	1	10	64	3	56	2.90e-16	60.8
6OMT:A	d2wlva_	63.889	144	50	2	4	146	2	144	3.05e-61	184
5DK6:A	d3uawa_	21.939	196	125	7	58	242	49	227	0.001	33.5
5DK6:A	d1sf9a_	47.619	42	16	2	11	46	1	42	0.004	31.2
6AR9:ACDEF	d1fsga_	30.625	160	99	5	118	268	75	231	7.89e-16	69.7
6VRG:ABCD	d1k6ya1	100.000	46	0	0	1	46	1	46	2.59e-30	101
6VRG:ABCD	d1cxqa_	33.333	114	55	6	60	162	9	112	2.71e-04	34.7
6S5P:ABCD	d2bv4a_	60.526	114	44	1	2	115	1	113	5.34e-46	139
5CC1:ABWX	d1sf9a_	100.000	14	0	0	11	24	1	14	7.35e-05	34.3
5C80:ABCDEF	d3uawa_	33.505	194	112	4	22	212	16	195	4.92e-24	91.7
6CVE:ABCD	d1byia_	31.313	198	117	6	13	198	4	194	2.51e-13	62.0
6H08:ABC	d3m5qa_	22.314	242	165	8	49	272	40	276	2.22e-10	55.1
5BQX:A	d4emta_	94.565	184	1	1	17	200	1	175	2.41e-127	353
7C62:A	d2rk3a_	99.462	186	1	0	19	204	1	186	1.32e-135	372
4ZVP:BD	e1qtn.1B	41.053	95	44	4	12	103	2	87	4.94e-15	60.1
5B1A:CP	d3ag3c_	100.000	259	0	0	3	261	1	259	0.0	525
5B2A:O	d2i5vo_	97.561	246	6	0	6	251	1	246	2.06e-166	454
5F5B:A	d2xova_	100.000	181	0	0	26	206	1	181	1.98e-131	362
5B1A:DQ	d3ag3d_	100.000	144	0	0	4	147	1	144	1.02e-106	295
5DC4:A	d1lkka_	41.748	103	53	4	13	108	1	103	3.98e-17	66.2
5B1A:ER	d3ag3e_	100.000	105	0	0	5	109	1	105	7.26e-77	217
5TVQ:B	d3a4ra_	32.394	71	47	1	11	80	8	78	1.45e-09	45.1
5B1A:GT	d3ag3g_	100.000	84	0	0	1	84	1	84	1.55e-60	174
5B1A:HU	d3ag3h_	100.000	79	0	0	7	85	1	79	2.71e-59	170
5B1A:IV	d3ag3i_	100.000	73	0	0	1	73	1	73	1.66e-50	147
5B1A:JW	d3ag3j_	100.000	58	0	0	1	58	1	58	1.10e-41	124
5B1A:KX	d3ag3k_	100.000	49	0	0	6	54	1	49	1.75e-34	105
6F0Q:AB	d1rwia_	69.600	250	67	4	8	253	2	246	5.28e-111	315
6F0Q:AB	d1rwia_	68.720	211	57	4	50	256	2	207	5.05e-90	262
6F0Q:AB	d1rwia_	71.515	165	47	0	5	169	82	246	2.85e-77	229
6ANK:AB	d1tjxa_	49.265	136	69	0	154	289	12	147	3.09e-44	143
6ANK:AB	d1tjxa_	42.063	126	64	3	6	129	1	119	1.00e-21	84.3
5N2C:ABC	d2hqsc_	46.602	103	55	0	81	183	4	106	4.97e-34	111
5DW8:AB	d1ka1a_	40.000	40	23	1	84	123	134	172	7.39e-05	38.1
6QLH:A	d3zqua_	100.000	207	0	0	22	228	1	207	7.45e-156	426
4YCB:AB	d3orsa_	58.333	144	60	0	25	168	4	147	5.38e-45	141
5I8F:A	d4a8ua_	37.086	151	93	2	15	164	8	157	1.49e-26	93.6
5KP4:AB	d2rfra1	35.185	54	34	1	3	56	14	66	5.03e-04	32.7
6EN9:ST	d1wuis_	45.914	257	134	3	5	259	1	254	1.08e-76	230
5COE:AB	d3hmsa_	100.000	91	0	0	9	99	1	91	5.10e-65	189
5COE:AB	d1i71a_	46.429	84	44	1	100	183	1	83	9.01e-23	82.0
6APE:A	d4b4ua1	44.167	120	65	2	15	133	3	121	4.78e-27	97.4
6ODD:A	d1t8ka_	44.286	70	39	0	8	77	3	72	2.10e-17	64.7
6C45:ABCD	d3q46a_	31.395	172	90	5	29	199	1	145	7.15e-17	71.6
5AQF:BD	d3ldqb_	99.099	111	1	0	5	115	1	111	2.66e-76	216
6IRI:A	d3wcqa_	58.333	96	40	0	9	104	1	96	1.85e-43	132
6EI4:AB	d3awua_	43.310	284	144	11	4	284	2	271	9.74e-67	204
